Precision,Recall,Run time,fscore
1,1,0.08574295,1
0.875,0.98245614,0.018949032,0.925619835
0.763888889,0.982142857,0.027925253,0.859375
1,0.980716253,0.035876513,0.990264256
1,0.972789116,0.022939682,0.986206897
1,0.972085386,0.034906387,0.985845129
1,0.97053407,0.037894964,0.985046729
1,0.967551622,0.032912731,0.983508246
1,0.964205817,0.092751265,0.981776765
1,0.959044369,0.050863504,0.979094077
1,0.957219251,0.030917168,0.978142077
1,0.947115385,0.048869133,0.972839506
1,0.945054945,0.027952909,0.971751412
0.989473684,0.936877076,0.032939196,0.962457338
0.990066225,0.934375,0.027893782,0.961414791
1,0.929577465,0.033910036,0.96350365
0.991666667,0.92248062,0.054845095,0.955823293
1,0.919270833,0.071786404,0.957937585
1,0.90809628,0.041916609,0.951834862
1,0.907142857,0.049865723,0.951310861
0.992211838,0.906116643,0.033910036,0.947211896
0.997767857,0.899396378,0.031882524,0.946031746
1,0.883522727,0.034909487,0.938159879
0.826086957,0.863636364,0.018979549,0.844444444
0.98540146,0.859872611,0.022910595,0.918367347
0.967741935,0.857142857,0.021942377,0.909090909
0.996389892,0.857142857,0.033881903,0.921535893
1,0.853658537,0.023935795,0.921052632
0.973102786,0.828291087,0.04484725,0.894876325
0.996124031,0.826366559,0.033909559,0.903339192
1,0.811983471,0.022938967,0.896237172
1,0.80861244,0.02593112,0.894179894
1,0.791277259,0.027927637,0.883478261
1,0.78,0.026927948,0.876404494
1,0.772925764,0.031913996,0.871921182
1,0.760869565,0.029919624,0.864197531
0.899159664,0.753521127,0.056820154,0.819923372
0.985507246,0.747252747,0.030945539,0.85
1,0.746031746,0.024960995,0.854545455
1,0.745192308,0.028921843,0.85399449
0.951219512,0.742857143,0.050864458,0.834224599
1,0.741176471,0.049866676,0.851351351
1,0.722457627,0.082749605,0.838868389
0.990272374,0.716901408,0.032874584,0.831699346
1,0.711229947,0.104719639,0.83125
0.774193548,0.705882353,0.042911768,0.738461538
0.996794872,0.688053097,0.033908606,0.814136126
1,0.677083333,0.035871983,0.807453416
1,0.677002584,0.037867785,0.807395994
1,0.676595745,0.027953148,0.807106599
1,0.671232877,0.025925636,0.803278689
0.954887218,0.641414141,0.022903681,0.767371601
1,0.633744856,0.025898933,0.77581864
0.970149254,0.631067961,0.03789854,0.764705882
1,0.628787879,0.028925896,0.772093023
0.98245614,0.614259598,0.045850039,0.755905512
1,0.609589041,0.031914473,0.757446809
1,0.609218437,0.028891802,0.757160648
0.993630573,0.608187135,0.030916929,0.754534462
1,0.607740586,0.055844545,0.756018217
0.996343693,0.606904232,0.079788923,0.75432526
0.92,0.605263158,0.041887999,0.73015873
0.980079681,0.602941176,0.032911777,0.746585736
1,0.593406593,0.034906864,0.744827586
1,0.590984975,0.055847406,0.742917104
0.974747475,0.590214067,0.029919624,0.735238095
1,0.584415584,0.030916452,0.737704918
0.675,0.574468085,0.043910027,0.620689655
0.9875,0.564285714,0.023935318,0.718181818
0.990033223,0.551851852,0.032884836,0.708680143
1,0.551351351,0.022910595,0.710801394
0.992890995,0.539253539,0.030885458,0.698915763
0.991843393,0.517446809,0.045847893,0.680089485
0.988950276,0.514367816,0.027916193,0.676748582
0.762711864,0.494505495,0.028949976,0.6
1,0.490625,0.023935795,0.658280922
1,0.481132075,0.0219419,0.649681529
0.979919679,0.447706422,0.029924154,0.614609572
1,0.439528024,0.027922153,0.610655738
1,0.426491994,0.022907734,0.597959184
0.983253589,0.415991903,0.029919863,0.584637269
1,0.401315789,0.040890694,0.572769953
1,0.38961039,0.026928663,0.560747664
1,0.360655738,0.021941185,0.530120482
0.743589744,0.353658537,0.024933577,0.479338843
0.979338843,0.351111111,0.033881903,0.516902944
0.987711214,0.348887683,0.064794302,0.51563753
0.980861244,0.348639456,0.041888237,0.514429109
0.962962963,0.331210191,0.026929855,0.492890995
1,0.330935252,0.031942606,0.497297297
0.994845361,0.32879046,0.023936272,0.494238156
1,0.320802005,0.045877457,0.485768501
0.708333333,0.320754717,0.018980503,0.441558442
0.973451327,0.316319195,0.024933338,0.477482366
1,0.316023739,0.045879602,0.480270575
0.64,0.31372549,0.02792573,0.421052632
0.97826087,0.294117647,0.030918598,0.452261307
0.960784314,0.262969589,0.052828074,0.412921348
0.732142857,0.261146497,0.025931358,0.384976526
0.900900901,0.257731959,0.024934053,0.400801603
0.590361446,0.256544503,0.056821823,0.357664234
0.93877551,0.252747253,0.023963928,0.398268398
0.987951807,0.252307692,0.029920101,0.401960784
0.929824561,0.237668161,0.031915188,0.378571429
1,0.22008547,0.030919075,0.360770578
0.948275862,0.185810811,0.02692771,0.310734463
0.979381443,0.183044316,0.022938251,0.308441558
1,0.166666667,0.025929928,0.285714286
0.975409836,0.158349967,0.051831007,0.272467086
1,0.156862745,0.027925491,0.271186441
0.976851852,0.140199336,0.043910265,0.245206275
0.833333333,0.126903553,0.044879913,0.220264317
0.8125,0.123417722,0.024960279,0.214285714
0.565217391,0.117117117,0.033909082,0.194029851
0.965909091,0.11409396,0.031914234,0.204081633
0.923076923,0.105960265,0.028922558,0.19009901
0.947368421,0.102564103,0.030917168,0.185089974
1,0.093922652,0.025924683,0.171717172
0.605263158,0.07615894,0.046873808,0.135294118
0.4,0.07,0.02493453,0.119148936
0.7,0.063636364,0.029921293,0.116666667
0.157894737,0.037974684,0.023940802,0.06122449
0.105263158,0.018018018,0.035903454,0.030769231
0.054545455,0.011904762,0.036901951,0.019543974
0.037037037,0.00462963,0.022938013,0.008230453
0.010869565,0.003389831,0.030945301,0.005167959
0.023809524,0.003350084,0.066790104,0.005873715
0.017857143,0.002336449,0.030917645,0.004132231
0.014925373,0.001883239,0.051858902,0.003344482
0.013157895,0.001663894,0.035903931,0.00295421
0,0,1.17083478,0
0,0,0.022942066,0
0,0,0.023937941,0
0,0,0.020915985,0
0,0,0.023961544,0
0,0,0.02296567,0
0,0,0.022966385,0
0,0,0.020944357,0
0,0,0.022938728,0
0,0,0.024964809,0
0,0,0.031914949,0
0,0,0.027926207,0
0,0,0.025931358,0
0,0,0.024934053,0
0,0,0.031911612,0
0,0,0.028933525,0
0,0,0.033857822,0
0,0,0.026927233,0
0,0,0.049866676,0
0,0,0.0488379,0
0,0,0.030917406,0
0,0,0.028922796,0
0,0,0.027898312,0
0,0,0.039864302,0
0,0,0.045876741,0
0,0,0.063802004,0
0,0,0.037856817,0
0,0,0.023935795,0
0,0,0.033909559,0
0,0,0.032880545,0
0,0,0.036900997,0
0,0,0.027956724,0
0,0,0.029919624,0
0,0,0.022938728,0
0,0,0.027925253,0
0,0,0.039890766,0
0,0,0.043846369,0
0,0,0.039865971,0
0,0,0.025931835,0
0,0,0.030917168,0
0,0,0.025930405,0
0,0,0.032911062,0
0,0,0.03985858,0
0,0,0.094761133,0
0,0,0.030910969,0
0,0,0.043851137,0
0,0,0.039890528,0
0,0,0.024933577,0
0,0,0.023935556,0
0,0,0.024934053,0
0,0,0.029892445,0
0,0,0.024933815,0
0,0,0.028923035,0
0,0,0.031914473,0
0,0,0.051832438,0
0,0,0.033880234,0
0,0,0.041889191,0
0,0,0.122671604,0
0,0,0.030916929,0
0,0,0.029920101,0
0,0,0.04488039,0
0,0,0.089731216,0
0,0,0.017951727,0
0,0,0.084773064,0
0,0,0.029920578,0
0,0,0.026922703,0
0,0,0.029919386,0
0,0,0.038864136,0
0,0,0.090728521,0
0,0,0.028917074,0
